Country,C1,C2,C3,C4,C5,C6,C7,C8,C9
Belgium,2.3,14.5,583.5,4.5,44,55.5,84.03,14.4,10.8
Bulgaria,8.6,8.8,623.4,8.2,158,28.2,65.05,10.1,19.1
Czechia,2,13.3,634.4,5.1,81,43.3,84.7,15,6.1
Denmark,2.8,18.2,1053.8,2.2,21,57.6,97.8,13.3,7.3
Germany,1.2,21.6,586.7,3.1,39,67.8,96.32,11.2,8.2
Estonia,2.1,8,1484.4,4.1,7,30.3,82,10.7,5.5
Ireland,1.4,10.3,972.7,2.7,9,40.8,62.3,14.3,11.3
Greece,5.8,20.1,710.2,5.9,95,21,94.7,12.9,18.1
Spain,3.4,21.9,577.5,3.2,30,36.7,86.93,12.6,14.1
France,3.8,20.7,845.1,4.3,30,43.8,79.85,14,17.7
Croatia,5.1,8.1,722.5,7.4,96,31.4,31.39,11.2,2.4
Italy,6.1,14.3,484.3,4.9,79,51.9,59.6,17.2,8.4
Cyprus,1.6,14,939,5,70,15.3,83.48,12.7,10.4
Latvia,11.5,12.5,1276.1,7.8,75,44.1,76.48,11.5,5.3
Lithuania,5.4,14.7,1090.5,5.3,77,44.3,76.94,5.3,3.3
Luxembourg,1.6,19.7,565.2,3.7,12,55.3,97,13.7,11
Hungary,7.6,9.3,811.5,5.6,107,34.9,84.23,20.7,5.3
Malta,1,30.8,201.4,1.7,37,13.6,7.4,14.1,11.4
Netherlands,1.5,25.5,456.9,2.9,32,57.8,99.52,10.6,15.7
Austria,3,16.8,740.1,4,36,62.5,99.1,18.8,5.7
Poland,7.9,12.6,633.7,5.9,125,40.3,75.2,13.7,4.4
Portugal,3.9,25.1,689.1,5.4,20,30.4,55.8,8.7,6.6
Romania,14.3,16.1,528.4,9.3,103,11.3,52.6,17,8.8
Slovenia,3.1,15,625.1,5.4,56,60.8,67.61,10,7.3
Slovakia,3.2,9.9,631.8,4.5,98,48.9,69.9,16.3,4.3
Finland,1,14.1,2447.6,4.1,3,39,85,12.3,7
Sweden,2.5,17.3,2223,2,6,39.5,96,15.9,13.8
