Ai,MARCOS,MARCOS dir
Belgium,3.1305883033905246e-05,1.0
Bulgaria,0.00021469722683387094,-1.0
Czechia,0.000653257559083853,1.0
Denmark,0.00022301951585801394,-1.0
Germany,0.0005134048708969052,1.0
Estonia,0.0005853514789856407,1.0
Ireland,0.0014099624593922888,-1.0
Greece,0.00014543660382815293,-1.0
Spain,0.0015788491375405833,-1.0
France,0.0003725441714423905,-1.0
Croatia,0.0007709740356249828,1.0
Italy,0.000855495535086126,1.0
Cyprus,0.0005020671562393497,1.0
Latvia,0.0005968178231471333,1.0
Lithuania,0.0008383854268326774,1.0
Luxembourg,0.0006734343118037778,1.0
Hungary,0.001105334466121155,1.0
Malta,0.0029808042681906954,1.0
Netherlands,0.00021468744851160793,-1.0
Austria,0.000525015137281093,1.0
Poland,0.00011573696542754863,1.0
Portugal,0.0003483565559257995,1.0
Romania,0.000881325726369675,1.0
Slovenia,0.0001969975725422124,1.0
Slovakia,0.0025161443721543053,1.0
Finland,0.0002262715655244607,-1.0
Sweden,0.0003690336540931316,-1.0
