,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,0.45515558144843654,0.4580224726127089,0.44509671303599846,0.46292724548965947,0.4620823447506007,0.45447583840465083,0.45882144352272797,0.4573701848040261
Bulgaria,0.36085292597153784,0.3568708373588043,0.36463349709732873,0.3710656956885311,0.3842542536107609,0.37216127482444405,0.3506534709930883,0.35045261927435867
Czechia,0.40732588380631723,0.42649871110516685,0.44821430040280824,0.45576592517151127,0.472083494169241,0.481856549922038,0.46705717745791775,0.46666302093630047
Denmark,0.5224252203042055,0.5248091507796836,0.5108414015068422,0.5362764908267622,0.5004677290583618,0.48639926523764515,0.5329254512823959,0.5192366241685934
Germany,0.46424727340713184,0.48470693759377453,0.4735192226278455,0.4799786914705119,0.47627878693870823,0.5199145420863468,0.5243250447424421,0.5202128573093204
Estonia,0.5096461059957701,0.520622991277876,0.5830752450924239,0.5638192311823271,0.594584116998677,0.5506626103955418,0.5644361131458588,0.5708373411562668
Ireland,0.5732875176091254,0.5934106901826293,0.6210542897402003,0.6559372661763236,0.6018903064795609,0.5150102567844511,0.538864903853579,0.5383770234066823
Greece,0.34143971535052675,0.3421795529530773,0.34203546117549893,0.3622957357854087,0.3499601053903367,0.34229109339526653,0.3344607065619453,0.33402459955202407
Spain,0.44931077217654963,0.4570880789217115,0.4834189405526412,0.47298430515260154,0.4655731404053239,0.3967413006053672,0.3949158152943082,0.39382142626846045
France,0.4232600965216833,0.4202624598768908,0.42617931613401483,0.4401949339548088,0.43253208205271737,0.39545779845573537,0.39996087331857844,0.39510441958161713
Croatia,0.4129312387597366,0.41554804421696667,0.41944322826607344,0.4636898018734425,0.4771051744981099,0.4724346020660225,0.4606367949090849,0.46040931867273693
Italy,0.35881969338015335,0.377424330482861,0.3964592291075036,0.43811892140420317,0.42749130435533844,0.4061626288501235,0.4113268132257972,0.4070724396037913
Cyprus,0.40749510627981245,0.37697641771950147,0.3868157308589287,0.435273253794147,0.43259394854151806,0.41238466173061156,0.4078734963971604,0.40790403502699213
Latvia,0.38941388658203613,0.3934074315679718,0.3965270440738945,0.39990474351415295,0.4456539485373261,0.4294113242869501,0.43208962473353046,0.43207304731462864
Lithuania,0.39182004773069434,0.4599274090336759,0.4068472431609478,0.4639480815230676,0.4686792190366416,0.4342496066785998,0.43960179848284847,0.44800325989759837
Luxembourg,0.4164340734229151,0.4464160242105514,0.44321570397275606,0.4679651710298987,0.48292688265024203,0.4694394286165961,0.4967269078907919,0.48084509217015003
Hungary,0.42108362975768515,0.44030408302277513,0.45375773618308624,0.5268256728726043,0.5008054939909451,0.4904088238100372,0.48216772601684216,0.48153209804375285
Malta,0.31814109610012614,0.2666977011201416,0.289605300391731,0.3249024714999947,0.31360679213115034,0.35427155652493353,0.3753657270656955,0.37325028210811073
Netherlands,0.48017662079032686,0.48682046117698496,0.4989069857691123,0.49115373757717345,0.46786372320005293,0.4549652054251487,0.46588094962248244,0.4648971079021496
Austria,0.45946977831893865,0.48122329849671874,0.47091234700274137,0.5086570029349099,0.4980088141257087,0.52006297807605,0.5234632762225838,0.5215221843773303
Poland,0.40828753315235844,0.4080751071046445,0.4087769803998122,0.4195337721261174,0.4346679057373415,0.41473862177160975,0.42559022466777957,0.42498014010615204
Portugal,0.318440948950097,0.33664172185419267,0.32266669577603574,0.35753190641894156,0.3374741371270575,0.3158505316137074,0.3377541950655074,0.33744003969081304
Romania,0.25499095048353376,0.2603418613020381,0.2713141216734175,0.2854477128918369,0.29687468751332574,0.3047515780738949,0.29356213186810126,0.2931267760037492
Slovenia,0.41005309978940835,0.4191812649572005,0.4324181616499448,0.45473670058395016,0.4374164337554932,0.4301505068893558,0.4264380715711086,0.4259715837567838
Slovakia,0.38125445465460284,0.41395941699874894,0.4214903911240301,0.49612343908898693,0.4961936804738851,0.5098010523728272,0.4996281883216782,0.4957150460908411
Finland,0.6907321733281659,0.7382490097917219,0.7399764120818846,0.7078509126184536,0.7266425416741127,0.6947971948993941,0.6842132099557449,0.6862703638962586
Sweden,0.6471987701896817,0.6401954335213779,0.6319489928643991,0.6400123361849938,0.6383924726160455,0.5797649085245712,0.5971593340873247,0.5965485158266791
